Node 253, a:86, b:10, c:36
Node 254, a:6, b:74, c:36
Node 255, a:6, b:10, c:-4
Node 256, a:390, b:74, c:124
Node 257, a:6, b:186, c:124
Node 258, a:6, b:74, c:36
Node 259, a:1766, b:954, c:124
Node 260, a:390, b:74, c:124
Node 261, a:390, b:954, c:2564
Node 262, a:1366, b:74, c:804
Node 263, a:390, b:2314, c:804
Node 264, a:390, b:74, c:124
Node 265, a:6, b:186, c:124
Node 266, a:614, b:1290, c:124
Node 267, a:614, b:186, c:1476
Node 268, a:390, b:74, c:124
Node 269, a:6, b:186, c:124
Node 270, a:6, b:74, c:36
Node 271, a:886, b:186, c:260
Node 272, a:6, b:346, c:260
Node 273, a:6, b:186, c:124
Node 274, a:6, b:74, c:36
Node 275, a:214, b:426, c:36
Node 276, a:214, b:74, c:540
Node 277, a:86, b:10, c:36
Node 278, a:6, b:74, c:36
Node 279, a:6, b:10, c:-4
Node 280, a:390, b:74, c:124
Node 281, a:6, b:186, c:124
Node 282, a:6, b:74, c:36
Node 283, a:6, b:10, c:-4
Node 284, a:6, b:-6, c:-4
Node 285, a:6, b:10, c:36
Node 286, a:-26, b:-6, c:-4
Node 287, a:6, b:10, c:-4
Node 288, a:6, b:-6, c:4
Node 289, a:86, b:10, c:36
Node 290, a:6, b:74, c:36
Node 291, a:6, b:10, c:-4
Node 292, a:6, b:-6, c:-4
Node 293, a:-26, b:-54, c:-4
Node 294, a:-26, b:-6, c:-60
Node 295, a:6, b:10, c:-4
Node 296, a:6, b:-6, c:-4
Node 297, a:6, b:10, c:36
Node 298, a:-10, b:-6, c:4
Node 299, a:6, b:26, c:4
Node 300, a:6, b:-6, c:-4
Node 301, a:6, b:10, c:36
Node 302, a:86, b:234, c:36
Node 303, a:86, b:10, c:156
Node 304, a:214, b:74, c:36
Node 305, a:6, b:10, c:36
Node 306, a:6, b:74, c:124
Node 307, a:6, b:10, c:-4
Node 308, a:6, b:-6, c:-4
Node 309, a:6, b:10, c:36
Node 310, a:-26, b:-6, c:-4
Node 311, a:6, b:10, c:-4
Node 312, a:6, b:-6, c:4
Node 313, a:-90, b:-54, c:-4
Node 314, a:-26, b:-6, c:-4
Node 315, a:-26, b:-54, c:-156
Node 316, a:-106, b:-6, c:-60
Node 317, a:-26, b:-166, c:-60
Node 318, a:-26, b:-6, c:-4
Node 319, a:6, b:10, c:-4
Node 320, a:6, b:-6, c:-4
Node 321, a:6, b:10, c:36
Node 322, a:-26, b:-6, c:-4
Node 323, a:6, b:10, c:-4
Node 324, a:6, b:-6, c:4
Node 325, a:86, b:10, c:36
Node 326, a:6, b:74, c:36
Node 327, a:6, b:10, c:-4
Node 328, a:6, b:-6, c:4
Node 329, a:-10, b:-6, c:4
Node 330, a:-10, b:-6, c:-36
Node 331, a:54, b:26, c:4
Node 332, a:6, b:-6, c:4
Node 333, a:6, b:26, c:60
Node 334, a:-26, b:-6, c:-4
Node 335, a:6, b:10, c:-4
Node 336, a:6, b:-6, c:4
Node 337, a:86, b:10, c:36
Node 338, a:6, b:74, c:36
Node 339, a:6, b:10, c:-4
Node 340, a:454, b:234, c:36
Node 341, a:86, b:10, c:36
Node 342, a:86, b:234, c:604
Node 343, a:246, b:10, c:156
Node 344, a:86, b:474, c:156
Node 345, a:86, b:10, c:36
Node 346, a:6, b:74, c:36
Node 347, a:214, b:426, c:36
Node 348, a:214, b:74, c:540
Node 349, a:86, b:10, c:36
Node 350, a:6, b:74, c:36
Node 351, a:6, b:10, c:-4
Node 352, a:390, b:74, c:124
Node 353, a:6, b:186, c:124
Node 354, a:6, b:74, c:36
Node 355, a:6, b:10, c:-4
Node 356, a:6, b:-6, c:-4
Node 357, a:6, b:10, c:36
Node 358, a:-26, b:-6, c:-4
Node 359, a:6, b:10, c:-4
Node 360, a:6, b:-6, c:4
Node 361, a:86, b:10, c:36
Node 362, a:6, b:74, c:36
Node 363, a:6, b:10, c:-4
